pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_8.xtc,700.0,0.2432094
6.50,pH_6.50pH_6.50_8.xtc,800.0,0.1841583
6.50,pH_6.50pH_6.50_8.xtc,900.0,0.1354949
6.50,pH_6.50pH_6.50_8.xtc,1000.0,0.0005034
6.50,pH_6.50pH_6.50_9.xtc,0.0,0.0005034
6.50,pH_6.50pH_6.50_9.xtc,100.0,0.1371872
6.50,pH_6.50pH_6.50_9.xtc,200.0,0.2301008
6.50,pH_6.50pH_6.50_9.xtc,300.0,0.2162964
6.50,pH_6.50pH_6.50_9.xtc,400.0,0.2435716
6.50,pH_6.50pH_6.50_9.xtc,500.0,0.2442624
6.50,pH_6.50pH_6.50_9.xtc,600.0,0.2666282
6.50,pH_6.50pH_6.50_9.xtc,700.0,0.2004001
6.50,pH_6.50pH_6.50_9.xtc,800.0,0.2314729
6.50,pH_6.50pH_6.50_9.xtc,900.0,0.3028101
6.50,pH_6.50pH_6.50_9.xtc,1000.0,0.2512026
6.50,pH_6.50pH_6.50_10.xtc,0.0,0.2512026
6.50,pH_6.50pH_6.50_10.xtc,100.0,0.3467457
6.50,pH_6.50pH_6.50_10.xtc,200.0,0.3527708
6.50,pH_6.50pH_6.50_10.xtc,300.0,0.3326319
6.50,pH_6.50pH_6.50_10.xtc,400.0,0.3431595
6.50,pH_6.50pH_6.50_10.xtc,500.0,0.34112
6.50,pH_6.50pH_6.50_10.xtc,600.0,0.3752692
6.50,pH_6.50pH_6.50_10.xtc,700.0,0.3681805
6.50,pH_6.50pH_6.50_10.xtc,800.0,0.4132531
6.50,pH_6.50pH_6.50_10.xtc,900.0,0.4300295
6.50,pH_6.50pH_6.50_10.xtc,1000.0,0.4175601
6.50,pH_6.50pH_6.50_11.xtc,0.0,0.4175601
6.50,pH_6.50pH_6.50_11.xtc,100.0,0.4025813
6.50,pH_6.50pH_6.50_11.xtc,200.0,0.3156232
6.50,pH_6.50pH_6.50_11.xtc,300.0,0.2926016
6.50,pH_6.50pH_6.50_11.xtc,400.0,0.2385285
6.50,pH_6.50pH_6.50_11.xtc,500.0,0.211805
6.50,pH_6.50pH_6.50_11.xtc,600.0,0.2874737
6.50,pH_6.50pH_6.50_11.xtc,700.0,0.2426969
6.50,pH_6.50pH_6.50_11.xtc,800.0,0.2606799
6.50,pH_6.50pH_6.50_11.xtc,900.0,0.2728838
6.50,pH_6.50pH_6.50_11.xtc,1000.0,0.2415096
6.50,pH_6.50pH_6.50_12.xtc,0.0,0.2415096
6.50,pH_6.50pH_6.50_12.xtc,100.0,0.2531174
6.50,pH_6.50pH_6.50_12.xtc,200.0,0.2751352
6.50,pH_6.50pH_6.50_12.xtc,300.0,0.2846316
6.50,pH_6.50pH_6.50_12.xtc,400.0,0.2565981
6.50,pH_6.50pH_6.50_12.xtc,500.0,0.2592247
6.50,pH_6.50pH_6.50_12.xtc,600.0,0.2975295
6.50,pH_6.50pH_6.50_12.xtc,700.0,0.3198262
6.50,pH_6.50pH_6.50_12.xtc,800.0,0.3337539
6.50,pH_6.50pH_6.50_12.xtc,900.0,0.3634735
6.50,pH_6.50pH_6.50_12.xtc,1000.0,0.2971267
6.50,pH_6.50pH_6.50_13.xtc,0.0,0.2971267
6.50,pH_6.50pH_6.50_13.xtc,100.0,0.4225768
6.50,pH_6.50pH_6.50_13.xtc,200.0,0.4636973
6.50,pH_6.50pH_6.50_13.xtc,300.0,0.5114915
6.50,pH_6.50pH_6.50_13.xtc,400.0,0.4561003
6.50,pH_6.50pH_6.50_13.xtc,500.0,0.4262346
6.50,pH_6.50pH_6.50_13.xtc,600.0,0.4112493
6.50,pH_6.50pH_6.50_13.xtc,700.0,0.4690408
