pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_8.xtc,700.0,0.3103573
6.50,pH_6.50pH_6.50_8.xtc,800.0,0.3001555
6.50,pH_6.50pH_6.50_8.xtc,900.0,0.3093945
6.50,pH_6.50pH_6.50_8.xtc,1000.0,0.2153429
6.50,pH_6.50pH_6.50_9.xtc,0.0,0.2153429
6.50,pH_6.50pH_6.50_9.xtc,100.0,0.2361314
6.50,pH_6.50pH_6.50_9.xtc,200.0,0.251384
6.50,pH_6.50pH_6.50_9.xtc,300.0,0.1965434
6.50,pH_6.50pH_6.50_9.xtc,400.0,0.281558
6.50,pH_6.50pH_6.50_9.xtc,500.0,0.2789911
6.50,pH_6.50pH_6.50_9.xtc,600.0,0.3100876
6.50,pH_6.50pH_6.50_9.xtc,700.0,0.2678576
6.50,pH_6.50pH_6.50_9.xtc,800.0,0.2276653
6.50,pH_6.50pH_6.50_9.xtc,900.0,0.2471544
6.50,pH_6.50pH_6.50_9.xtc,1000.0,0.2545498
6.50,pH_6.50pH_6.50_10.xtc,0.0,0.2545498
6.50,pH_6.50pH_6.50_10.xtc,100.0,0.2723665
6.50,pH_6.50pH_6.50_10.xtc,200.0,0.2400183
6.50,pH_6.50pH_6.50_10.xtc,300.0,0.2968588
6.50,pH_6.50pH_6.50_10.xtc,400.0,0.3341219
6.50,pH_6.50pH_6.50_10.xtc,500.0,0.1988177
6.50,pH_6.50pH_6.50_10.xtc,600.0,0.2399359
6.50,pH_6.50pH_6.50_10.xtc,700.0,0.2736046
6.50,pH_6.50pH_6.50_10.xtc,800.0,0.2424584
6.50,pH_6.50pH_6.50_10.xtc,900.0,0.2689523
6.50,pH_6.50pH_6.50_10.xtc,1000.0,0.3447391
6.50,pH_6.50pH_6.50_11.xtc,0.0,0.3447391
6.50,pH_6.50pH_6.50_11.xtc,100.0,0.4125657
6.50,pH_6.50pH_6.50_11.xtc,200.0,0.2560204
6.50,pH_6.50pH_6.50_11.xtc,300.0,0.2511072
6.50,pH_6.50pH_6.50_11.xtc,400.0,0.3176828
6.50,pH_6.50pH_6.50_11.xtc,500.0,0.2242448
6.50,pH_6.50pH_6.50_11.xtc,600.0,0.28883
6.50,pH_6.50pH_6.50_11.xtc,700.0,0.2109941
6.50,pH_6.50pH_6.50_11.xtc,800.0,0.2795793
6.50,pH_6.50pH_6.50_11.xtc,900.0,0.2483604
6.50,pH_6.50pH_6.50_11.xtc,1000.0,0.2801859
6.50,pH_6.50pH_6.50_12.xtc,0.0,0.2801859
6.50,pH_6.50pH_6.50_12.xtc,100.0,0.2513071
6.50,pH_6.50pH_6.50_12.xtc,200.0,0.2959549
6.50,pH_6.50pH_6.50_12.xtc,300.0,0.2817998
6.50,pH_6.50pH_6.50_12.xtc,400.0,0.3506197
6.50,pH_6.50pH_6.50_12.xtc,500.0,0.3592708
6.50,pH_6.50pH_6.50_12.xtc,600.0,0.3451835
6.50,pH_6.50pH_6.50_12.xtc,700.0,0.3605849
6.50,pH_6.50pH_6.50_12.xtc,800.0,0.4389563
6.50,pH_6.50pH_6.50_12.xtc,900.0,0.3961137
6.50,pH_6.50pH_6.50_12.xtc,1000.0,0.4200404
6.50,pH_6.50pH_6.50_13.xtc,0.0,0.4200404
6.50,pH_6.50pH_6.50_13.xtc,100.0,0.3860649
6.50,pH_6.50pH_6.50_13.xtc,200.0,0.4086845
6.50,pH_6.50pH_6.50_13.xtc,300.0,0.440511
6.50,pH_6.50pH_6.50_13.xtc,400.0,0.4383222
6.50,pH_6.50pH_6.50_13.xtc,500.0,0.4154675
6.50,pH_6.50pH_6.50_13.xtc,600.0,0.4835931
6.50,pH_6.50pH_6.50_13.xtc,700.0,0.4373359
6.50,pH_6.50pH_6.50_13.xtc,800.0,0.4609508
6.50,pH_6.50pH_6.50_13.xtc,900.0,0.4239835
6.50,pH_6.50pH_6.50_13.xtc,1000.0,0.390931
6.50,pH_6.50pH_6.50_14.xtc,0.0,0.390931
6.50,pH_6.50pH_6.50_14.xtc,100.0,0.3916449
6.50,pH_6.50pH_6.50_14.xtc,200.0,0.3139321
6.50,pH_6.50pH_6.50_14.xtc,300.0,0.2491857
6.50,pH_6.50pH_6.50_14.xtc,400.0,0.2261467
6.50,pH_6.50pH_6.50_14.xtc,500.0,0.2660404
6.50,pH_6.50pH_6.50_14.xtc,600.0,0.2910917
6.50,pH_6.50pH_6.50_14.xtc,700.0,0.2683414
6.50,pH_6.50pH_6.50_14.xtc,800.0,0.2286856
6.50,pH_6.50pH_6.50_14.xtc,900.0,0.209951
6.50,pH_6.50pH_6.50_14.xtc,1000.0,0.2463618
6.50,pH_6.50pH_6.50_15.xtc,0.0,0.2463618
6.50,pH_6.50pH_6.50_15.xtc,100.0,0.2099446
6.50,pH_6.50pH_6.50_15.xtc,200.0,0.2553599
6.50,pH_6.50pH_6.50_15.xtc,300.0,0.191478
6.50,pH_6.50pH_6.50_15.xtc,400.0,0.262216
6.50,pH_6.50pH_6.50_15.xtc,500.0,0.2721163
6.50,pH_6.50pH_6.50_15.xtc,600.0,0.2459548
6.50,pH_6.50pH_6.50_15.xtc,700.0,0.2692331
6.50,pH_6.50pH_6.50_15.xtc,800.0,0.2761143
6.50,pH_6.50pH_6.50_15.xtc,900.0,0.3049975
6.50,pH_6.50pH_6.50_15.xtc,1000.0,0.2403091
6.50,pH_6.50pH_6.50_16.xtc,0.0,0.2403091
6.50,pH_6.50pH_6.50_16.xtc,100.0,0.2331029
6.50,pH_6.50pH_6.50_16.xtc,200.0,0.2002344
6.50,pH_6.50pH_6.50_16.xtc,300.0,0.2296381
6.50,pH_6.50pH_6.50_16.xtc,400.0,0.2054299
6.50,pH_6.50pH_6.50_16.xtc,500.0,0.2320914
6.50,pH_6.50pH_6.50_16.xtc,600.0,0.2336191
6.50,pH_6.50pH_6.50_16.xtc,700.0,0.2261574
6.50,pH_6.50pH_6.50_16.xtc,800.0,0.2742031
6.50,pH_6.50pH_6.50_16.xtc,900.0,0.2491688
6.50,pH_6.50pH_6.50_16.xtc,1000.0,0.2250274
6.50,pH_6.50pH_6.50_17.xtc,0.0,0.2250274
6.50,pH_6.50pH_6.50_17.xtc,100.0,0.2304652
6.50,pH_6.50pH_6.50_17.xtc,200.0,0.2467237
6.50,pH_6.50pH_6.50_17.xtc,300.0,0.2373115
6.50,pH_6.50pH_6.50_17.xtc,400.0,0.2661982
6.50,pH_6.50pH_6.50_17.xtc,500.0,0.2118862
6.50,pH_6.50pH_6.50_17.xtc,600.0,0.2481472
6.50,pH_6.50pH_6.50_17.xtc,700.0,0.2797366
6.50,pH_6.50pH_6.50_17.xtc,800.0,0.3437568
6.50,pH_6.50pH_6.50_17.xtc,900.0,0.3569109
6.50,pH_6.50pH_6.50_17.xtc,1000.0,0.3283655
6.50,pH_6.50pH_6.50_18.xtc,0.0,0.3283655
6.50,pH_6.50pH_6.50_18.xtc,100.0,0.276312
6.50,pH_6.50pH_6.50_18.xtc,200.0,0.2975477
6.50,pH_6.50pH_6.50_18.xtc,300.0,0.2271431
6.50,pH_6.50pH_6.50_18.xtc,400.0,0.2436343
6.50,pH_6.50pH_6.50_18.xtc,500.0,0.2930673
6.50,pH_6.50pH_6.50_18.xtc,600.0,0.2622116
6.50,pH_6.50pH_6.50_18.xtc,700.0,0.2604455
6.50,pH_6.50pH_6.50_18.xtc,800.0,0.2164499
6.50,pH_6.50pH_6.50_18.xtc,900.0,0.2502033
6.50,pH_6.50pH_6.50_18.xtc,1000.0,0.2578352
6.50,pH_6.50pH_6.50_19.xtc,0.0,0.2578352
6.50,pH_6.50pH_6.50_19.xtc,100.0,0.2308376
6.50,pH_6.50pH_6.50_19.xtc,200.0,0.2292266
6.50,pH_6.50pH_6.50_19.xtc,300.0,0.2819169
6.50,pH_6.50pH_6.50_19.xtc,400.0,0.2279941
6.50,pH_6.50pH_6.50_19.xtc,500.0,0.2403108
6.50,pH_6.50pH_6.50_19.xtc,600.0,0.2309006
6.50,pH_6.50pH_6.50_19.xtc,700.0,0.2576354
6.50,pH_6.50pH_6.50_19.xtc,800.0,0.2883216
6.50,pH_6.50pH_6.50_19.xtc,900.0,0.2589234
6.50,pH_6.50pH_6.50_19.xtc,1000.0,0.2394811
6.50,pH_6.50pH_6.50_20.xtc,0.0,0.2394811
6.50,pH_6.50pH_6.50_20.xtc,100.0,0.257204
6.50,pH_6.50pH_6.50_20.xtc,200.0,0.2477234
6.50,pH_6.50pH_6.50_20.xtc,300.0,0.2485095
6.50,pH_6.50pH_6.50_20.xtc,400.0,0.2353057
6.50,pH_6.50pH_6.50_20.xtc,500.0,0.3135853
6.50,pH_6.50pH_6.50_20.xtc,600.0,0.2767139
6.50,pH_6.50pH_6.50_20.xtc,700.0,0.2508515
6.50,pH_6.50pH_6.50_20.xtc,800.0,0.2405609
6.50,pH_6.50pH_6.50_20.xtc,900.0,0.2521648
6.50,pH_6.50pH_6.50_20.xtc,1000.0,0.2187493
7.00,pH_7.00pH_7.00_1.xtc,0.0,0.388034
7.00,pH_7.00pH_7.00_1.xtc,100.0,0.4605616
7.00,pH_7.00pH_7.00_1.xtc,200.0,0.3967879
7.00,pH_7.00pH_7.00_1.xtc,300.0,0.4216591
7.00,pH_7.00pH_7.00_1.xtc,400.0,0.4438522
7.00,pH_7.00pH_7.00_1.xtc,500.0,0.344245
7.00,pH_7.00pH_7.00_1.xtc,600.0,0.3101755
7.00,pH_7.00pH_7.00_1.xtc,700.0,0.4248686
7.00,pH_7.00pH_7.00_1.xtc,800.0,0.4967143
7.00,pH_7.00pH_7.00_1.xtc,900.0,0.4148074
7.00,pH_7.00pH_7.00_1.xtc,1000.0,0.3414301
7.00,pH_7.00pH_7.00_2.xtc,0.0,0.3414301
7.00,pH_7.00pH_7.00_2.xtc,100.0,0.4118853
7.00,pH_7.00pH_7.00_2.xtc,200.0,0.3926077
7.00,pH_7.00pH_7.00_2.xtc,300.0,0.3719551
7.00,pH_7.00pH_7.00_2.xtc,400.0,0.3132967
7.00,pH_7.00pH_7.00_2.xtc,500.0,0.3288584
7.00,pH_7.00pH_7.00_2.xtc,600.0,0.3120549
7.00,pH_7.00pH_7.00_2.xtc,700.0,0.3222306
7.00,pH_7.00pH_7.00_2.xtc,800.0,0.3322028
7.00,pH_7.00pH_7.00_2.xtc,900.0,0.2662511
7.00,pH_7.00pH_7.00_2.xtc,1000.0,0.3089553
7.00,pH_7.00pH_7.00_3.xtc,0.0,0.3089553
7.00,pH_7.00pH_7.00_3.xtc,100.0,0.2672005
7.00,pH_7.00pH_7.00_3.xtc,200.0,0.2214904
7.00,pH_7.00pH_7.00_3.xtc,300.0,0.2564543
7.00,pH_7.00pH_7.00_3.xtc,400.0,0.3538544
7.00,pH_7.00pH_7.00_3.xtc,500.0,0.3652946
7.00,pH_7.00pH_7.00_3.xtc,600.0,0.3506284
7.00,pH_7.00pH_7.00_3.xtc,700.0,0.3021228
7.00,pH_7.00pH_7.00_3.xtc,800.0,0.3306743
7.00,pH_7.00pH_7.00_3.xtc,900.0,0.2793545
7.00,pH_7.00pH_7.00_3.xtc,1000.0,0.2761659
7.00,pH_7.00pH_7.00_4.xtc,0.0,0.2761659
7.00,pH_7.00pH_7.00_4.xtc,100.0,0.2482091
7.00,pH_7.00pH_7.00_4.xtc,200.0,0.3023155
7.00,pH_7.00pH_7.00_4.xtc,300.0,0.2699373
7.00,pH_7.00pH_7.00_4.xtc,400.0,0.4021069
7.00,pH_7.00pH_7.00_4.xtc,500.0,0.3296167
7.00,pH_7.00pH_7.00_4.xtc,600.0,0.3791255
7.00,pH_7.00pH_7.00_4.xtc,700.0,0.3846342
7.00,pH_7.00pH_7.00_4.xtc,800.0,0.3542165
7.00,pH_7.00pH_7.00_4.xtc,900.0,0.3380971
7.00,pH_7.00pH_7.00_4.xtc,1000.0,0.3402765
7.00,pH_7.00pH_7.00_5.xtc,0.0,0.3402765
7.00,pH_7.00pH_7.00_5.xtc,100.0,0.3258985
7.00,pH_7.00pH_7.00_5.xtc,200.0,0.4054317
7.00,pH_7.00pH_7.00_5.xtc,300.0,0.3524135
7.00,pH_7.00pH_7.00_5.xtc,400.0,0.4002588
7.00,pH_7.00pH_7.00_5.xtc,500.0,0.3592648
7.00,pH_7.00pH_7.00_5.xtc,600.0,0.3615782
7.00,pH_7.00pH_7.00_5.xtc,700.0,0.4193668
7.00,pH_7.00pH_7.00_5.xtc,800.0,0.3790299
7.00,pH_7.00pH_7.00_5.xtc,900.0,0.3552119
7.00,pH_7.00pH_7.00_5.xtc,1000.0,0.3078479
7.00,pH_7.00pH_7.00_6.xtc,0.0,0.3078479
7.00,pH_7.00pH_7.00_6.xtc,100.0,0.2679319
7.00,pH_7.00pH_7.00_6.xtc,200.0,0.2992518
7.00,pH_7.00pH_7.00_6.xtc,300.0,0.3817099
7.00,pH_7.00pH_7.00_6.xtc,400.0,0.3585501
7.00,pH_7.00pH_7.00_6.xtc,500.0,0.311408
7.00,pH_7.00pH_7.00_6.xtc,600.0,0.3575315
7.00,pH_7.00pH_7.00_6.xtc,700.0,0.4748636
7.00,pH_7.00pH_7.00_6.xtc,800.0,0.3694857
7.00,pH_7.00pH_7.00_6.xtc,900.0,0.3421921
7.00,pH_7.00pH_7.00_6.xtc,1000.0,0.2899356
7.00,pH_7.00pH_7.00_7.xtc,0.0,0.2899356
7.00,pH_7.00pH_7.00_7.xtc,100.0,0.253092
7.00,pH_7.00pH_7.00_7.xtc,200.0,0.335464
7.00,pH_7.00pH_7.00_7.xtc,300.0,0.3290503
7.00,pH_7.00pH_7.00_7.xtc,400.0,0.364849
7.00,pH_7.00pH_7.00_7.xtc,500.0,0.2932266
7.00,pH_7.00pH_7.00_7.xtc,600.0,0.2858011
7.00,pH_7.00pH_7.00_7.xtc,700.0,0.3403068
7.00,pH_7.00pH_7.00_7.xtc,800.0,0.3929238
7.00,pH_7.00pH_7.00_7.xtc,900.0,0.3981009
7.00,pH_7.00pH_7.00_7.xtc,1000.0,0.3333529
7.00,pH_7.00pH_7.00_8.xtc,0.0,0.3333529
7.00,pH_7.00pH_7.00_8.xtc,100.0,0.2961667
7.00,pH_7.00pH_7.00_8.xtc,200.0,0.2881185
7.00,pH_7.00pH_7.00_8.xtc,300.0,0.2840495
7.00,pH_7.00pH_7.00_8.xtc,400.0,0.2924508
7.00,pH_7.00pH_7.00_8.xtc,500.0,0.3025203
7.00,pH_7.00pH_7.00_8.xtc,600.0,0.2785601
7.00,pH_7.00pH_7.00_8.xtc,700.0,0.2861328
7.00,pH_7.00pH_7.00_8.xtc,800.0,0.3302837
7.00,pH_7.00pH_7.00_8.xtc,900.0,0.2598636
7.00,pH_7.00pH_7.00_8.xtc,1000.0,0.3042226
7.00,pH_7.00pH_7.00_9.xtc,0.0,0.3042226
7.00,pH_7.00pH_7.00_9.xtc,100.0,0.3014367
7.00,pH_7.00pH_7.00_9.xtc,200.0,0.2459508
7.00,pH_7.00pH_7.00_9.xtc,300.0,0.4283156
7.00,pH_7.00pH_7.00_9.xtc,400.0,0.2902555
7.00,pH_7.00pH_7.00_9.xtc,500.0,0.359331
7.00,pH_7.00pH_7.00_9.xtc,600.0,0.3723215
7.00,pH_7.00pH_7.00_9.xtc,700.0,0.3215531
7.00,pH_7.00pH_7.00_9.xtc,800.0,0.3546285
7.00,pH_7.00pH_7.00_9.xtc,900.0,0.3580417
7.00,pH_7.00pH_7.00_9.xtc,1000.0,0.4266258
7.00,pH_7.00pH_7.00_10.xtc,0.0,0.4266258
7.00,pH_7.00pH_7.00_10.xtc,100.0,0.3609278
7.00,pH_7.00pH_7.00_10.xtc,200.0,0.3527862
7.00,pH_7.00pH_7.00_10.xtc,300.0,0.4902744
7.00,pH_7.00pH_7.00_10.xtc,400.0,0.4227978
7.00,pH_7.00pH_7.00_10.xtc,500.0,0.3180252
7.00,pH_7.00pH_7.00_10.xtc,600.0,0.2975313
7.00,pH_7.00pH_7.00_10.xtc,700.0,0.3740707
7.00,pH_7.00pH_7.00_10.xtc,800.0,0.4173062
7.00,pH_7.00pH_7.00_10.xtc,900.0,0.4352106
7.00,pH_7.00pH_7.00_10.xtc,1000.0,0.2765664
7.00,pH_7.00pH_7.00_11.xtc,0.0,0.2765664
7.00,pH_7.00pH_7.00_11.xtc,100.0,0.2830887
7.00,pH_7.00pH_7.00_11.xtc,200.0,0.2844751
7.00,pH_7.00pH_7.00_11.xtc,300.0,0.3546072
7.00,pH_7.00pH_7.00_11.xtc,400.0,0.3423296
7.00,pH_7.00pH_7.00_11.xtc,500.0,0.3025875
7.00,pH_7.00pH_7.00_11.xtc,600.0,0.2749915
7.00,pH_7.00pH_7.00_11.xtc,700.0,0.2456956
7.00,pH_7.00pH_7.00_11.xtc,800.0,0.3377945
7.00,pH_7.00pH_7.00_11.xtc,900.0,0.2484881
7.00,pH_7.00pH_7.00_11.xtc,1000.0,0.385079
7.00,pH_7.00pH_7.00_12.xtc,0.0,0.385079
7.00,pH_7.00pH_7.00_12.xtc,100.0,0.3821869
7.00,pH_7.00pH_7.00_12.xtc,200.0,0.3796737
7.00,pH_7.00pH_7.00_12.xtc,300.0,0.3394848
7.00,pH_7.00pH_7.00_12.xtc,400.0,0.4233779
7.00,pH_7.00pH_7.00_12.xtc,500.0,0.3104105
7.00,pH_7.00pH_7.00_12.xtc,600.0,0.4196451
7.00,pH_7.00pH_7.00_12.xtc,700.0,0.3331296
7.00,pH_7.00pH_7.00_12.xtc,800.0,0.295756
7.00,pH_7.00pH_7.00_12.xtc,900.0,0.3320692
7.00,pH_7.00pH_7.00_12.xtc,1000.0,0.2813599
7.00,pH_7.00pH_7.00_13.xtc,0.0,0.2813599
7.00,pH_7.00pH_7.00_13.xtc,100.0,0.2699383
7.00,pH_7.00pH_7.00_13.xtc,200.0,0.3859546
7.00,pH_7.00pH_7.00_13.xtc,300.0,0.3730706
7.00,pH_7.00pH_7.00_13.xtc,400.0,0.3961619
7.00,pH_7.00pH_7.00_13.xtc,500.0,0.370032
7.00,pH_7.00pH_7.00_13.xtc,600.0,0.3985275
7.00,pH_7.00pH_7.00_13.xtc,700.0,0.3031416
7.00,pH_7.00pH_7.00_13.xtc,800.0,0.285149
7.00,pH_7.00pH_7.00_13.xtc,900.0,0.3024248
7.00,pH_7.00pH_7.00_13.xtc,1000.0,0.2953525
7.00,pH_7.00pH_7.00_14.xtc,0.0,0.2953525
7.00,pH_7.00pH_7.00_14.xtc,100.0,0.2574062
7.00,pH_7.00pH_7.00_14.xtc,200.0,0.272843
7.00,pH_7.00pH_7.00_14.xtc,300.0,0.3517428
7.00,pH_7.00pH_7.00_14.xtc,400.0,0.381127
7.00,pH_7.00pH_7.00_14.xtc,500.0,0.384711
7.00,pH_7.00pH_7.00_14.xtc,600.0,0.368024
7.00,pH_7.00pH_7.00_14.xtc,700.0,0.3020146
7.00,pH_7.00pH_7.00_14.xtc,800.0,0.4402099
7.00,pH_7.00pH_7.00_14.xtc,900.0,0.3517669
7.00,pH_7.00pH_7.00_14.xtc,1000.0,0.3765
7.00,pH_7.00pH_7.00_15.xtc,0.0,0.3765
7.00,pH_7.00pH_7.00_15.xtc,100.0,0.3416039
7.00,pH_7.00pH_7.00_15.xtc,200.0,0.4428695
7.00,pH_7.00pH_7.00_15.xtc,300.0,0.3848793
7.00,pH_7.00pH_7.00_15.xtc,400.0,0.4050902
7.00,pH_7.00pH_7.00_15.xtc,500.0,0.424266
7.00,pH_7.00pH_7.00_15.xtc,600.0,0.3566444
7.00,pH_7.00pH_7.00_15.xtc,700.0,0.2501253
7.00,pH_7.00pH_7.00_15.xtc,800.0,0.3785887
7.00,pH_7.00pH_7.00_15.xtc,900.0,0.319651
7.00,pH_7.00pH_7.00_15.xtc,1000.0,0.3635002
7.00,pH_7.00pH_7.00_16.xtc,0.0,0.3635002
7.00,pH_7.00pH_7.00_16.xtc,100.0,0.350124
7.00,pH_7.00pH_7.00_16.xtc,200.0,0.2506411
7.00,pH_7.00pH_7.00_16.xtc,300.0,0.301997
7.00,pH_7.00pH_7.00_16.xtc,400.0,0.42994
7.00,pH_7.00pH_7.00_16.xtc,500.0,0.336568
7.00,pH_7.00pH_7.00_16.xtc,600.0,0.320413
7.00,pH_7.00pH_7.00_16.xtc,700.0,0.2732256
7.00,pH_7.00pH_7.00_16.xtc,800.0,0.1668948
7.00,pH_7.00pH_7.00_16.xtc,900.0,0.2438981
7.00,pH_7.00pH_7.00_16.xtc,1000.0,0.2130856
7.00,pH_7.00pH_7.00_17.xtc,0.0,0.2130856
7.00,pH_7.00pH_7.00_17.xtc,100.0,0.2070778
7.00,pH_7.00pH_7.00_17.xtc,200.0,0.367368
7.00,pH_7.00pH_7.00_17.xtc,300.0,0.3939719
7.00,pH_7.00pH_7.00_17.xtc,400.0,0.4275023
7.00,pH_7.00pH_7.00_17.xtc,500.0,0.4051235
7.00,pH_7.00pH_7.00_17.xtc,600.0,0.3815302
7.00,pH_7.00pH_7.00_17.xtc,700.0,0.3733929
7.00,pH_7.00pH_7.00_17.xtc,800.0,0.3543837
7.00,pH_7.00pH_7.00_17.xtc,900.0,0.3609694
7.00,pH_7.00pH_7.00_17.xtc,1000.0,0.276995
7.00,pH_7.00pH_7.00_18.xtc,0.0,0.276995
7.00,pH_7.00pH_7.00_18.xtc,100.0,0.2609534
7.00,pH_7.00pH_7.00_18.xtc,200.0,0.2333084
7.00,pH_7.00pH_7.00_18.xtc,300.0,0.2344577
7.00,pH_7.00pH_7.00_18.xtc,400.0,0.2563429
7.00,pH_7.00pH_7.00_18.xtc,500.0,0.2519608
7.00,pH_7.00pH_7.00_18.xtc,600.0,0.1827878
7.00,pH_7.00pH_7.00_18.xtc,700.0,0.2462356
7.00,pH_7.00pH_7.00_18.xtc,800.0,0.2628301
7.00,pH_7.00pH_7.00_18.xtc,900.0,0.205287
7.00,pH_7.00pH_7.00_18.xtc,1000.0,0.0004951
7.00,pH_7.00pH_7.00_19.xtc,0.0,0.0004951
7.00,pH_7.00pH_7.00_19.xtc,100.0,0.2328049
7.00,pH_7.00pH_7.00_19.xtc,200.0,0.3056949
7.00,pH_7.00pH_7.00_19.xtc,300.0,0.253192
7.00,pH_7.00pH_7.00_19.xtc,400.0,0.1922264
